"たけのこの里 8袋 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、小麦粉、全粉乳、カカオマス、ショートニング、鶏卵、植物油脂、ココアバター、卵白、マーガリン、アーモンドペースト、乳糖、脱脂粉乳、食塩、クリーミングパウダー、麦芽エキス／乳化剤、膨脹剤、香料、（一部に小麦・卵・乳成分・アーモンド・大豆を含む）
"チョコレート効果 カカオ72％ 75g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、砂糖、ココアパウダー、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ86％ 70g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、ココアパウダー、砂糖、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ95％ 60g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、ココアパウダー、砂糖、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ72％素焼きアーモンド 81g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、アーモンド、砂糖、ココアパウダー、ココアバター、植物油脂、還元水あめ／乳化剤、香料、光沢剤、（一部に乳成分・アーモンド・大豆を含む）
"チョコレート効果 カカオ72％コク深マカダミア 9粒 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、砂糖、マカダミアナッツ、ココアパウダー、ココアバター、植物油脂／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ72％26枚入り 130g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、砂糖、ココアパウダー、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ86％26枚入り 130g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、ココアパウダー、砂糖、ココアバター／乳化剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ72％パウチ 40g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、砂糖、ココアパウダー、ココアバター、還元水あめ／乳化剤、光沢剤、香料、（一部に乳成分・大豆を含む）
"チョコレート効果 カカオ86％パウチ 37g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、ココアパウダー、砂糖、ココアバター、還元水あめ／乳化剤、光沢剤、香料、（一部に乳成分・大豆を含む）
